  0.985316157       1.19316345E-03   3.43407295E-03   1.39520774E-02   1.05022276E-02   2.57210433E-03   1.82313443E-06
  0.991044164       1.19236729E-03   3.43268947E-03   1.41933793E-02   1.06856013E-02   2.57133343E-03   1.84414750E-06
  0.996772170       1.19156402E-03   3.43129341E-03   1.44373877E-02   1.08710825E-02   2.57055438E-03   1.86527529E-06
   1.00249755       1.19076075E-03   3.42989783E-03   1.46841174E-02   1.10586816E-02   2.56977696E-03   1.88651222E-06
   1.00821960       1.18995085E-03   3.42848967E-03   1.49335777E-02   1.12484097E-02   2.56899255E-03   1.90784954E-06
   1.01394165       1.18913595E-03   3.42707266E-03   1.51857818E-02   1.14402771E-02   2.56820163E-03   1.92930247E-06
   1.01966369       1.18832104E-03   3.42565449E-03   1.54407416E-02   1.16342967E-02   2.56741070E-03   1.95087296E-06
   1.02538574       1.18749752E-03   3.42422165E-03   1.56984720E-02   1.18304780E-02   2.56661163E-03   1.97255576E-06
   1.03110778       1.18667097E-03   3.42278392E-03   1.59589872E-02   1.20288320E-02   2.56580999E-03   1.99435476E-06
   1.03682983       1.18584442E-03   3.42134479E-03   1.62222981E-02   1.22293737E-02   2.56500742E-03   2.01627222E-06
   1.04255188       1.18500751E-03   3.41988774E-03   1.64884180E-02   1.24321114E-02   2.56419345E-03   2.03829882E-06
   1.04827392       1.18416932E-03   3.41842743E-03   1.67573597E-02   1.26370583E-02   2.56337994E-03   2.06044274E-06
   1.05399597       1.18333090E-03   3.41696758E-03   1.70291420E-02   1.28442254E-02   2.56256387E-03   2.08270444E-06
   1.05971801       1.18248106E-03   3.41548608E-03   1.73037704E-02   1.30536240E-02   2.56173825E-03   2.10507551E-06
   1.06544006       1.18163123E-03   3.41400318E-03   1.75812598E-02   1.32652670E-02   2.56091007E-03   2.12756368E-06
   1.07116210       1.18077977E-03   3.41251912E-03   1.78616252E-02   1.34791648E-02   2.56008212E-03   2.15016803E-06
   1.07688415       1.17991830E-03   3.41101689E-03   1.81448758E-02   1.36953266E-02   2.55924324E-03   2.17288198E-06
   1.08260620       1.17905682E-03   3.40951188E-03   1.84310284E-02   1.39137665E-02   2.55840318E-03   2.19571393E-06
   1.08832824       1.17819256E-03   3.40800523E-03   1.87200941E-02   1.41344974E-02   2.55756220E-03   2.21866048E-06
   1.09405029       1.17731944E-03   3.40647902E-03   1.90120842E-02   1.43575277E-02   2.55671004E-03   2.24171617E-06
   1.09977233       1.17644633E-03   3.40495515E-03   1.93070155E-02   1.45828649E-02   2.55585951E-03   2.26489033E-06
   1.10549438       1.17556949E-03   3.40342475E-03   1.96048971E-02   1.48105267E-02   2.55500386E-03   2.28817794E-06
   1.11121643       1.17468473E-03   3.40187806E-03   1.99057404E-02   1.50405215E-02   2.55413982E-03   2.31157514E-06
   1.11693847       1.17379997E-03   3.40033206E-03   2.02095602E-02   1.52728660E-02   2.55327625E-03   2.33509036E-06
   1.12266052       1.17291079E-03   3.39877559E-03   2.05163714E-02   1.55075686E-02   2.55240733E-03   2.35871789E-06
   1.12838256       1.17201440E-03   3.39720864E-03   2.08261814E-02   1.57446377E-02   2.55153188E-03   2.38245661E-06
   1.13410461       1.17111800E-03   3.39564052E-03   2.11390052E-02   1.59840863E-02   2.55065504E-03   2.40631039E-06
   1.13982666       1.17021659E-03   3.39406193E-03   2.14548558E-02   1.62259266E-02   2.54977308E-03   2.43027716E-06
   1.14554870       1.16930855E-03   3.39247286E-03   2.17737444E-02   1.64701696E-02   2.54888437E-03   2.45435399E-06
   1.15127075       1.16840051E-03   3.39088286E-03   2.20956840E-02   1.67168248E-02   2.54799449E-03   2.47854723E-06
   1.15699279       1.16748724E-03   3.38928401E-03   2.24206895E-02   1.69659052E-02   2.54710088E-03   2.50285234E-06
   1.16271484       1.16656756E-03   3.38767120E-03   2.27487646E-02   1.72174238E-02   2.54619913E-03   2.52726818E-06
   1.16843688       1.16564787E-03   3.38605931E-03   2.30799355E-02   1.74713880E-02   2.54529784E-03   2.55179816E-06
   1.17415893       1.16472295E-03   3.38443881E-03   2.34141871E-02   1.77278109E-02   2.54439097E-03   2.57644069E-06
